smiles,-logKd/Ki
Cn1nc(-c2ccc3c(c2)OCO3)cc1N,2.0699999999999998
[NH3+]CCc1ccccc1,2.27
O=C1NC2C(O)C(O)C(O)C(CO)N2C1=O,2.2799999999999998
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.3500000000000001
O=C1C=C(Nc2nnn[nH]2)CCC1,2.3599999999999999
N=c1ccn(C2OC(CO)C(O)C(F)C2O)c(=O)[nH]1,2.3999999999999999
Nc1ncc(CCC([NH3+])C(=O)[O-])[nH]1,2.52
CC(C)CC([NH3+])C(=O)[O-],2.5499999999999998
[NH3+]Cc1ccc(C(=O)[O-])cc1,2.5699999999999998
CC(=O)Oc1c(C)cccc1C(=O)[O-],2.77
COc1ccc(S(N)(=O)=O)cc1,2.8199999999999998
O=C1Nc2ccccc2C12CC[NH2+]C2,2.8500000000000001
CCOC(=O)C=Cc1ccc(O)c(O)c1,2.8900000000000001
COc1ccc2[nH]ccc2c1,2.96
CCN(CC)C(=O)c1ccc(O)c(OC)c1,3.1000000000000001
[NH3+]CCc1c[nH]c2ccc(O)cc12,3.1600000000000001
[NH3+]C(CCC(=O)NC(CS)C(=O)NCC(=O)[O-])C(=O)[O-],3.1800000000000002
Nc1ccc2cc3ccc(N)cc3nc2c1,3.2799999999999998
C=CC[NH+](Cc1ccccc1C(=O)NCc1ccccc1)Cc1ccc2c(c1C(=O)[O-])OCO2,3.2799999999999998
CC(=O)NC1C(O)C=C(C(=O)[O-])OC1C(O)C(O)C[NH3+],3.3999999999999999
Nc1nc(CCc2ccccc2)cc(=O)[nH]1,3.6600000000000001
O=C([O-])C1(O)C=CC(O)C(O)C1,3.7000000000000002
C=CCOC1(C(=O)[O-])CC(OC2(C(=O)[O-])OC(C(O)CO)C(O)C(O)C2O)C(O)C(C(O)CO)O1,3.7200000000000002
CCCCCCCCCC(=O)[O-],3.7799999999999998
O=C([O-])COc1c(Br)csc1C(=O)[O-],3.7999999999999998
CC(=O)NC1C(O)C[NH2+]C(CO)C(O)C1O,4.0499999999999998
CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,4.0800000000000001
[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],4.0800000000000001
O=C(NC1OC(CO)C(O)C(O)C1O)c1ccccc1,4.0899999999999999
C[NH+](C)Cc1cccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,4.1200000000000001
O=C(NCC=CC1OC(n2ccc(=O)cc2)C(O)C1O)c1cc([N+](=O)[O-])cc(O)c1O,4.1299999999999999
CC(C)CC([NH3+])C(=O)[O-],4.1900000000000004
Nc1cccc2c(S(=O)(=O)[O-])cccc12,4.1900000000000004
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],4.1900000000000004
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1[NH2+]C1C=C(CO)C(O)C(O)C1O,4.21
[NH3+]C(CCCC[N+](=O)[O-])C(=O)[O-],4.2199999999999998
CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])CCC(=O)[O-])C(=O)[O-],4.2999999999999998
OCC1OC(OC2C(O)C[NH2+]OC2CO)C(O)C(O)C1O,4.2999999999999998
COc1ccc2c(c1)cc(CNS(=O)(=O)c1cc3ccccc3o1)n2CC(=O)[O-],4.2999999999999998
COC1OC(CO)C(O)C(O)C1O,4.3700000000000001
CCCCCCCCCC(=O)[O-],4.3799999999999999
O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12,4.4299999999999997
CCCCCCCCN=C1OCC2C(O)C(O)C(O)C(O)N12,4.4500000000000002
COC1C(CO)OC(OC2C(CO)OC(OC3C(CO)NC(=NO)C(O)C3O)C(O)C2O)C(O)C1O,4.5999999999999996
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,4.5999999999999996
CNC(=O)C([NH3+])Cc1ccc(OCc2ccccc2)cc1,4.6600000000000001
CC([NH3+])C1CCC(C(=O)Nc2ccncc2)CC1,4.7599999999999998
OC1(c2ccc(-c3ccccc3)cc2)C[NH+]2CCC1CC2,4.7599999999999998
CC=COC1(C(=O)[O-])CC(O)C(O)C(C(O)COC2(C(=O)[O-])C=CCC(C(O)CO)O2)O1,4.7999999999999998
CC1CC(C)CN(C(=O)c2cc(Br)ccc2N)C1,4.8499999999999996
OCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,4.8600000000000003
Cc1o[nH]c(=O)c1CC([NH3+])C(=O)[O-],4.8899999999999997
OCC1CC2C(O)C(O)C1(O)C[NH+]2Cc1ccccc1,4.8899999999999997
OCC1C(O)C(O)C(O)c2nccn21,4.8899999999999997
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,4.9400000000000004
COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,5.0599999999999996
NC(=[NH2+])c1ccc(N)cc1,5.0999999999999996
C=CC[NH+](Cc1ccccc1C(=O)NC(c1ccc(OC)cc1)c1ccc(OC)cc1)Cc1ccc2c(c1C(=O)[O-])OCO2,5.1200000000000001
CC(C)C([NH3+])C(=O)N1CCCC1C(=O)NCC(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(=O)[O-])C(=O)NC(CO)C(=O)[O-],5.2199999999999998
CC(C)C1[NH2+]CC(O)C(O)C1O,5.2199999999999998
CCCCCCCCCCCC(=O)[O-],5.2400000000000002
CC=C1C2C=C(C)CC1([NH3+])c1ccc(=O)[nH]c1C2,5.3700000000000001
CC(=O)NC1C(O)C=C(C(=O)[O-])OC1C(O)C(O)CO,5.4000000000000004
COC1OC(C)C(O)C(O)C1O,5.4000000000000004
CCC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3cn(cc13)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,5.5800000000000001
CCCC(=O)NC1C(=NOC(=O)Nc2ccccc2)OC(CO)C(O)C1O,5.5999999999999996
O=C(CCC1=CC(O)(C(=O)[O-])CC(O)C1O)Nc1ccccc1,5.6399999999999997
CC(C)C([NH3+])C(=O)N1CCCC1,5.7000000000000002
